canonical_smiles,role,split,is_augmented,sources,exclusion_reasons,unsupported_bond_types,ipc,tokenizer_backend,token_count,max_smiles_tokens
CCC[CH3]->[GaH-]([C](F)(F)C(F)(F)C(F)(F)C(F)(F)F)[S](C)(=O)=O,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,13737.445914683129,ais,50,256
CCCC[CH2][NbH3-](<-[CH3]CCCC)[CH](C)CC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1918.3919704937807,ais,22,256
C[CH3]->[AlH-]([Br])[CH2]COCCOC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,266.84944488577588,ais,17,256
CCC[CH3]->[InH-]([CH2]C(=O)O)[CH](C)CC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,577.35143543768015,ais,24,256
CCCCCCCC[Si](C)(C)c1cc[c]([InH-]([F])<-[CH3]CC)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,63268.955066952796,ais,35,256
CCCC[CH3]->[TaH3-]([Cl])[CH2]C(=O)O,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,201.14279332147242,ais,20,256
C[CH2](C)->[TaH3-]([CH2]C(=O)O)[S](=O)(=O)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,2590.7324112022225,ais,43,256
CC[CH3]->[SbH3-]([CH2]C(=O)O)[c]1ccc(C)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,2079.0184326452654,ais,28,256
CCCC[CH2][GaH-]([CH2]CCS)<-[CH3]CC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,743.90305798632858,ais,18,256
CC[CH3]->[AlH-]([S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,100185.67072705076,ais,65,256
C[CH3]->[AlH-]([c]1ccc(C)cc1)[c]1ccc([Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,105021699.08935003,ais,82,256
C[CH2](C)->[TaH3-]([SH])[CH2]N,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,27.977093296928835,ais,15,256
CC[CH3]->[InH-]([I])[CH2]CC(N)=O,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,125.48550784437856,ais,19,256
C[CH2][TaH3-](<-[CH3]C)[S](=O)(=O)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,59.411150801793859,ais,20,256
CCCCC[CH2][AlH-](<-[CH3]C)[C](F)(F)C(F)(F)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,21095.945410120989,ais,43,256
C[CH2](C)->[GaH-]([CH2]CCC(F)(F)C(F)(F)F)[c]1ccc([Si](C)(C)CCC(F)(F)F)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,610002.61253249284,ais,57,256
CCC[CH3]->[SbH3-]([c]1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C](F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,40819.837039753227,ais,47,256
CC[CH3]->[TaH3-]([CH2]C)[S](=O)(=O)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1344.8903538262882,ais,36,256
CCCC[CH3]->[AlH-]([NH2])[C](F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,616.46907534018521,ais,28,256
CC[CH3]->[TaH3-]([CH2]CSC)[S](C)(=O)=O,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,294.90567095875656,ais,24,256
COCCOC[CH2][NbH3-]([CH3])<-[CH2](C)C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,378.32574319452806,ais,19,256
CCCCCCCC[Si](C)(C)c1cc[c]([InH-]([SH])<-[CH3]CC)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,63268.955066952796,ais,35,256
C[CH3]->[AlH-]([OH])[CH2]CCCN,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,94.267379289733228,ais,15,256
C[CH2](C)->[SbH3-]([CH2]OC(F)(F)F)[C](F)(F)C(F)(F)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,18796.601257721817,ais,51,256
CC[CH3]->[TaH3-]([Cl])[CH2]C(=O)O,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,66.843293098079101,ais,18,256
CCCC[CH2][GaH-]([CH2]CCS)<-[CH3]CCCC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,2055.9785834498248,ais,20,256
C[CH3]->[AlH-]([CH2]N)[CH2]CCC(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1042.9498208393593,ais,29,256
CCCC[CH3]->[NbH3-]([CH2]C)[c]1ccccc1C(=O)O,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,6512.9119708074513,ais,28,256
CCCC[CH3]->[TaH3-]([CH2]CCCNC(=N)N)[CH2]COCCOC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,34262.120752107301,ais,30,256
CCCC[CH3]->[NbH3-]([NH2])[CH2]CCC(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,2646.4551220921435,ais,31,256
CC[CH](C)[SbH3-]([Br])<-[CH3]C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,53.472763614058941,ais,15,256
CCC[CH3]->[AlH-]([SH])[S](=O)(=O)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1318.4113455201621,ais,36,256
CCC[CH3]->[GaH2-][CH2]OC(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,179.5244186731201,ais,19,256
CCCC[CH3]->[SbH3-]([c]1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C](F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,67335.989159840217,ais,48,256
CCC[CH3]->[AlH-]([Cl])[S](=O)(=O)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,372.98034016184363,ais,29,256
C[CH3]->[AlH-]([NH2])[c]1cc(C(F)(F)F)cc(C(F)(F)F)c1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,5034.8558006665635,ais,38,256
CCC[CH2][GaH-]([CH2]CCCNC(=N)N)<-[CH2](C)C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,2451.7113633541653,ais,26,256
CCCC[CH3]->[AlH-]([NH2])[CH2]C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,94.267379289733228,ais,15,256
CC[CH2][GaH-]([CH2]OC(F)(F)F)<-[CH3]CC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,467.23484008975947,ais,22,256
CCCC[CH2][SbH3-](<-[CH3]C)[c]1ccc(C)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,2587.9049753875006,ais,24,256
C[CH2](C)->[TaH3-]([OH])[c]1ccc([Si](C)(C)CCC(F)(F)F)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,13757.74470722875,ais,40,256
CCC[CH3]->[AlH-]([NH2])[CH2]C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,56.62563225878344,ais,14,256
CCCC[CH2][GaH-](<-[CH3]CCC)[c]1ccc([Si](C)(C)CCC(F)(F)F)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,191980.41000586454,ais,42,256
C[CH2](C)->[AlH-]([S](=O)(=O)C(F)(F)C(F)(F)F)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,82763.465708514268,ais,67,256
CCC[CH3]->[TaH3-]([CH2]COCCOC)[S](=O)(=O)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,27288.549353916897,ais,42,256
CCC[CH3]->[AlH-]([c]1cc(C(F)(F)F)cc(C(F)(F)F)c1)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1631860.7791786711,ais,70,256
C[CH2](C)->[InH-]([c]1ccc([Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1)[S](=O)(=O)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,209449580.09780321,ais,98,256
CCCC[CH2][NbH3-]([CH2]CCCNC(=N)N)<-[CH3]C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,2875.9509558307714,ais,24,256
C[CH3]->[NbH3-]([CH2]CSC)[S](=O)(=O)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,2233.063963720047,ais,37,256
CCCC[CH3]->[TaH3-]([CH2]CC)[S](=O)(=O)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,6047.4393119984879,ais,39,256
CC[CH2][SbH3-]([CH2]CC(=O)O)<-[CH3]C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,226.84699271857485,ais,19,256
CCCC[CH3]->[AlH-]([I])[CH2]CN,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,149.45355810759327,ais,16,256
COCCOC[CH2][AlH-]([NH2])<-[CH2](C)C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,378.32574319452806,ais,19,256
C[CH3]->[InH-]([CH3])[C](F)(F)C(F)(F)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1699.0915664051511,ais,39,256
CCCC[CH3]->[NbH3-]([CH2]CCC(F)(F)C(F)(F)F)[S](=O)(=O)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,29361.719243410545,ais,47,256
CCCC[CH3]->[AlH-]([Br])[c]1ccc(C)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1497.1787522579998,ais,24,256
CCCC[CH3]->[InH-]([I])[CH2]COCCOC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1187.7354752064518,ais,20,256
CC(C)[CH2][GaH-]([Br])<-[CH2](C)C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,60.471843553435889,ais,18,256
CCC[CH3]->[NbH3-]([CH2]CCC(F)(F)C(F)(F)F)[CH2]C(C)C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,6253.2503683409659,ais,35,256
C[CH2](C)->[NbH3-]([CH2]CCC(F)(F)C(F)(F)F)[C](F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,9167.1890091867863,ais,45,256
Cc1cc[c]([AlH-]([SH])<-[CH2](C)C)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,473.95534108527499,ais,23,256
CCCC[CH3]->[TaH3-]([CH3])[F],anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,48.275511041086673,ais,14,256
CCC[CH2][NbH3-]([c]1cc(C(F)(F)F)cc(C(F)(F)F)c1)<-[CH2](C)C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,31914.507780130982,ais,43,256
CCC[CH3]->[InH-]([CH2]CN)[CH](C)CC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,421.31041346321814,ais,20,256
CCCC[CH2][GaH2-]<-[CH3]CCCC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,292.88606297426952,ais,14,256
CC[CH3]->[SbH3-]([F])[CH2]CCCN,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,149.45355810759327,ais,16,256
CCCC[CH3]->[AlH-]([CH2]CCCN)[CH](C)CC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1918.3919704937807,ais,23,256
CCCCC[CH2][AlH-]([CH2]CCC)<-[CH3]CC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1238.8068143660491,ais,19,256
CC[CH3]->[AlH-]([SH])[S](=O)(=O)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,57.508712278837244,ais,21,256
CCCC[CH3]->[TaH3-]([SH])[CH2]CCN,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,259.80449914949315,ais,17,256
CCC[CH2][TaH3-](<-[CH3]C)[S](=O)(=O)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,175.38510926213382,ais,22,256
CCC[CH3]->[TaH3-]([Cl])[CH2]CCN,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,157.20912659259116,ais,16,256
CCC[CH3]->[AlH-]([c]1ccccc1C(=O)O)[C](F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,24513.366475288396,ais,40,256
C/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)COP(=O)([O-])OP(=O)([O-])O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O[C@@H]3OC([C@@H](CO)O[C@@H]4OC([C@H](O)CO[C@@H]5OC([C@@H](CO)O[C@@H]6OC([C@H](O)CO[C@@H]7OC([C@@H](CO)O[C@@H]8OC([C@H](O)CO[C@@H]9OC([C@@H](CO)O[C@@H]%10OC([C@H](O)CO[C@@H]%11OC([C@@H](CO)O[C@@H]%12OC([C@H](O)CO[C@@H]%13OC([C@@H](CO)O[C@@H]%14OC([C@H](O)CO[C@@H]%15OC([C@@H](CO)O[C@@H]%16OC([C@H](O)CO[C@@H]%17OC([C@@H](CO)O[C@@H]%18OC([C@H](O)CO[C@@H]%19OC([C@@H](CO)O[C@@H]%20OC([C@H](O)CO[C@@H]%21OC([C@@H](CO)O[C@@H]%22OC([C@H](O)CO[C@@H]%23OC([C@@H](CO)O[C@@H]%24OC([C@H](O)CO[C@@H]%25OC([C@@H](CO)O[C@@H]%26OC([C@H](O)CO[C@@H]%27OC([C@@H](CO)O[C@@H]%28OC([C@H](O)CO[C@@H]%29OC([C@@H](CO)O[C@@H]%30OC([C@H](O)CO[C@@H]%31OC([C@@H](CO)O[C@@H]%32OC([C@H](O)CO)[C@H](O)[C@H]%32O)[C@H](O)[C@H]%31O)[C@H](O)[C@H]%30O)[C@H](O)[C@H]%29O)[C@H](O)[C@H]%28O)[C@H](O)[C@H]%27O)[C@H](O)[C@H]%26O)[C@H](O)[C@H]%25O)[C@H](O)[C@H]%24O)[C@H](O)[C@H]%23O)[C@H](O)[C@H]%22O)[C@H](O)[C@H]%21O)[C@H](O)[C@H]%20O)[C@H](O)[C@H]%19O)[C@H](O)[C@H]%18O)[C@H](O)[C@H]%17O)[C@H](O)[C@H]%16O)[C@H](O)[C@H]%15O)[C@H](O)[C@H]%14O)[C@H](O)[C@H]%13O)[C@H](O)[C@H]%12O)[C@H](O)[C@H]%11O)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H]1NC(C)=O,anion,train,1,augmentation/anion,ipc_square_overflow;smiles_overlength,,3.4223153448838397e+167,ais,734,256
CCC[CH3]->[InH-]([I])[C](F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,102.71285637719102,ais,20,256
CCC[CH3]->[TaH3-]([CH2]CCC(F)(F)C(F)(F)F)[C](F)(F)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,61335.264099823115,ais,51,256
CCCC[CH3]->[GaH-]([CH2]CCCN)[c]1cc(C(F)(F)F)cc(C(F)(F)F)c1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,164700.38610310885,ais,45,256
CC[CH3]->[InH-]([I])[CH2]C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,31.916635235956914,ais,13,256
CCC[CH3]->[TaH3-]([C](F)(F)C(F)(F)F)[S](=O)(=O)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,13894.708732556095,ais,50,256
CCC[CH3]->[SbH3-]([CH2]CCCNC(=N)N)[c]1ccc([Si](C)(C)CCC(F)(F)F)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,710517.97253554058,ais,49,256
CCCC[CH3]->[AlH-]([CH2]CCS)[CH2]C(C)C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1015.0375372991534,ais,22,256
CC[CH3]->[InH-]([CH2]CCC(F)(F)C(F)(F)F)[c]1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,36713844.818670027,ais,81,256
C[CH3]->[AlH-]([NH2])[CH2]OC(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,99.59282168544263,ais,20,256
CCCC[CH3]->[NbH3-]([CH2]N)[CH2]CSC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,459.91750673440464,ais,18,256
CCCC[CH2][NbH3-](<-[CH3]CCC)[CH](C)CC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1164.6899206814626,ais,21,256
C[CH2](C)->[InH-]([CH2]CCCN)[C](F)(F)C(F)(F)C(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,5157.8417354730182,ais,39,256
CCCC[CH3]->[AlH-]([Br])[CH2]COCCOC,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,1187.7354752064518,ais,20,256
CC[CH3]->[InH-]([I])[CH2]OC(F)(F)F,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,159.26257258391109,ais,21,256
CC[CH3]->[NbH3-]([Cl])[CH2]C(C)C,anion,train,1,augmentation/anion,unsupported_bcut_bond_type,DATIVE,66.843293098079101,ais,17,256
