rank,run,model,macro_normalized_mae,valid_tasks,total_tasks,per_task_wins,source_run,checkpoint_epoch
1,dmpnn@outputs/benchmarks/v1/dmpnn,D-MPNN,0.057051479117753746,3,3,2,outputs/benchmarks/v1/dmpnn,
2,spmm@outputs/benchmarks/v1/spmm,SPMM,0.058257007426434054,3,3,0,outputs/benchmarks/v1/spmm,
3,ilbert@outputs/benchmarks/v1/ilbert,ILBERT,0.06103424620094303,3,3,1,outputs/benchmarks/v1/ilbert,
4,mlp@outputs/benchmarks/v1/mlp,MLP,0.06765150811346712,3,3,0,outputs/benchmarks/v1/mlp,
5,ilume@outputs/v1/stage2/base/evaluate,ILUME,0.08831408282931452,3,3,0,outputs/v1/stage2/base/evaluate,
6,molformer@outputs/benchmarks/v1/molformer,MoLFormer-XL-both-10pct,0.0936611555818158,3,3,0,outputs/benchmarks/v1/molformer,
7,ecfp_xgboost@outputs/benchmarks/v1/ecfp_xgboost,ECFP+XGBoost,0.13470258857254386,3,3,0,outputs/benchmarks/v1/ecfp_xgboost,
